StationId	DataType	FileName	Id	Lat	Long	Scenario	Constituent	SDate	EDate	YrCount	Value	Sum	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	StaNam
500172	WdmFinal	ak500172.wdm	9	61.189	-149.81	COMPUTED	PMET	'1994/01/01'	'2003/12/31'	10	30.92	30.92	0.005	0.019	0.069	0.123	0.184	0.205	0.170	0.119	0.061	0.035	0.014	0.007	ALASKA PACIFIC UNIVERSITY
500243	WdmFinal	ak500243.wdm	9	60.958	-149.11	COMPUTED	PMET	'1970/01/01'	'2006/12/31'	37	26.82	26.57	0.004	0.016	0.048	0.082	0.149	0.183	0.167	0.113	0.059	0.033	0.011	0.005	ALYESKA
500275	WdmFinal	ak500275.wdm	9	61.156	-149.98	COMPUTED	PMET	'1999/01/01'	'2006/12/31'	8	32.2	32.2	0.005	0.022	0.071	0.119	0.187	0.203	0.187	0.127	0.068	0.042	0.014	0.007	ANCHORAGE FORECAST OFFICE
500280	WdmFinal	ak500280.wdm	9	61.195	-150	COMPUTED	PMET	'1970/01/01'	'2006/12/31'	37	33.35	33.35	0.005	0.023	0.070	0.115	0.195	0.209	0.192	0.136	0.077	0.046	0.015	0.009	ANCHORAGE INTL AP
500302	WdmFinal	ak500302.wdm	9	61.624	-149.34	COMPUTED	PMET	'1971/01/01'	'2006/12/31'	36	31.97	31.97	0.005	0.023	0.069	0.120	0.191	0.199	0.175	0.122	0.071	0.047	0.016	0.008	ANDERSON LAKE
500352	WdmFinal	ak500352.wdm	9	55.043	-131.57	COMPUTED	PMET	'1970/01/01'	'2006/12/31'	37	43.62	43.62	0.036	0.098	0.110	0.150	0.194	0.186	0.180	0.147	0.115	0.096	0.069	0.051	ANNETTE WSO AIRPORT
500464	WdmFinal	ak500464.wdm	9	58.381	-134.65	COMPUTED	PMET	'1970/01/01'	'2006/12/31'	37	30.17	30.35	0.005	0.031	0.075	0.117	0.165	0.173	0.162	0.124	0.071	0.042	0.014	0.015	AUKE BAY
500657	WdmFinal	ak500657.wdm	9	55.38	-131.47	COMPUTED	PMET	'1970/01/01'	'2005/12/31'	36	38.5	38.91	0.031	0.081	0.098	0.139	0.177	0.174	0.169	0.135	0.102	0.072	0.057	0.043	BEAVER FALLS
500707	WdmFinal	ak500707.wdm	9	61.568	-149.14	COMPUTED	PMET	'1970/01/01'	'2001/12/31'	32	34.23	34.23	0.005	0.022	0.073	0.126	0.201	0.220	0.185	0.138	0.078	0.047	0.015	0.008	BENS FARM
500754	WdmFinal	ak500754.wdm	9	60.786	-161.83	COMPUTED	PMET	'1970/01/01'	'2006/12/31'	37	32.8	32.44	0.019	0.025	0.064	0.118	0.153	0.193	0.170	0.120	0.075	0.045	0.037	0.044	BETHEL AP
500770	WdmFinal	ak500770.wdm	9	63.995	-145.72	COMPUTED	PMET	'1972/01/01'	'2006/12/31'	35	29.37	29.38	0.000	0.004	0.059	0.125	0.201	0.213	0.175	0.106	0.061	0.013	0.004	0.001	BIG DELTA FAA/AMOS AP
500788	WdmFinal	ak500788.wdm	9	60.814	-152.3	COMPUTED	PMET	'1978/01/01'	'2004/12/31'	27	29.66	29.66	0.026	0.038	0.077	0.111	0.141	0.152	0.136	0.101	0.064	0.057	0.035	0.034	BIG RIVER LAKES
501220	WdmFinal	ak501220.wdm	9	61.164	-149.78	COMPUTED	PMET	'2001/01/01'	'2006/12/31'	6	32.24	32.23	0.004	0.021	0.057	0.117	0.192	0.223	0.188	0.134	0.065	0.036	0.013	0.006	CAMPBELL CREEK SCI CTR
501240	WdmFinal	ak501240.wdm	9	61.018	-147.51	COMPUTED	PMET	'1980/01/01'	'2006/12/31'	27	21.37	21.37	0.007	0.015	0.051	0.079	0.115	0.127	0.117	0.085	0.050	0.032	0.015	0.008	CANNERY CREEK
501243	WdmFinal	ak501243.wdm	9	63.395	-148.9	COMPUTED	PMET	'1984/01/01'	'2006/12/31'	23	26.49	26.49	0.009	0.022	0.047	0.087	0.152	0.178	0.151	0.095	0.059	0.036	0.017	0.015	CANTWELL 2 E
501557	WdmFinal	ak501557.wdm	9	64.833	-147.94	COMPUTED	PMET	'2000/01/01'	'2005/12/23'	5.98	33.17	33.05	0.000	0.001	0.046	0.139	0.216	0.266	0.196	0.135	0.062	0.021	0.001	0.000	CHENA RIDGE
501926	WdmFinal	ak501926.wdm	9	62.829	-149.9	COMPUTED	PMET	'1997/01/01'	'2006/12/31'	10	29.72	29.71	0.013	0.028	0.055	0.096	0.159	0.206	0.163	0.105	0.064	0.040	0.023	0.021	CHULITNA RIVER
502102	WdmFinal	ak502102.wdm	9	55.221	-162.73	COMPUTED	PMET	'1970/01/01'	'2006/12/31'	37	45.61	45.61	0.058	0.068	0.126	0.151	0.179	0.198	0.180	0.174	0.113	0.105	0.073	0.069	COLD BAY AP
502107	WdmFinal	ak502107.wdm	9	64.859	-147.84	COMPUTED	PMET	'1970/01/01'	'2005/12/31'	36	33.05	33.17	0.000	0.001	0.041	0.126	0.225	0.247	0.215	0.137	0.069	0.020	0.001	0.000	COLLEGE OBSERVATORY
502112	WdmFinal	ak502112.wdm	9	64.925	-147.88	COMPUTED	PMET	'1977/01/01'	'2006/12/31'	30	32.94	32.94	0.000	0.001	0.046	0.134	0.223	0.241	0.210	0.133	0.066	0.022	0.001	0.000	COLLEGE 5 NW
